0:0:0:0:0:0:0:1 - - [20/Oct/2022:20:08:34 +0900] "GET /springPortfolio/board/list HTTP/1.1" 200 4674
0:0:0:0:0:0:0:1 - - [20/Oct/2022:20:08:36 +0900] "GET /springPortfolio/board/list?tbl=freeboard HTTP/1.1" 200 4692
0:0:0:0:0:0:0:1 - - [20/Oct/2022:20:08:37 +0900] "GET /springPortfolio/board/chuga?tbl=freeboard&no_=&pageNumber_=1&searchGubun=&searchData= HTTP/1.1" 200 4121
0:0:0:0:0:0:0:1 - - [20/Oct/2022:20:09:36 +0900] "GET /springPortfolio/board/chuga?tbl=freeboard&no_=&pageNumber_=1&searchGubun=&searchData= HTTP/1.1" 200 4139
0:0:0:0:0:0:0:1 - - [20/Oct/2022:20:10:53 +0900] "GET /springPortfolio/board/chuga?tbl=freeboard&no_=&pageNumber_=1&searchGubun=&searchData= HTTP/1.1" 200 4139
0:0:0:0:0:0:0:1 - - [20/Oct/2022:20:10:57 +0900] "GET /springPortfolio/board/chuga?tbl=freeboard&no_=&pageNumber_=1&searchGubun=&searchData= HTTP/1.1" 200 4139
0:0:0:0:0:0:0:1 - - [20/Oct/2022:20:11:04 +0900] "GET /springPortfolio/board/chuga?tbl=freeboard&no_=&pageNumber_=1&searchGubun=&searchData= HTTP/1.1" 200 4148
0:0:0:0:0:0:0:1 - - [20/Oct/2022:20:11:20 +0900] "POST /springPortfolio/board/chugaProc HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Oct/2022:20:11:21 +0900] "GET /springPortfolio/board/list?tbl=freeboard HTTP/1.1" 200 5325
0:0:0:0:0:0:0:1 - - [20/Oct/2022:20:11:25 +0900] "GET /springPortfolio/member/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Oct/2022:20:11:25 +0900] "GET /springPortfolio/member/login HTTP/1.1" 200 2883
0:0:0:0:0:0:0:1 - - [20/Oct/2022:20:11:28 +0900] "GET /springPortfolio/board/list?tbl=freeboard HTTP/1.1" 200 5300
0:0:0:0:0:0:0:1 - - [20/Oct/2022:20:12:05 +0900] "GET /springPortfolio/board/chuga?tbl=freeboard&no_=&pageNumber_=1&searchGubun=&searchData= HTTP/1.1" 200 4114
0:0:0:0:0:0:0:1 - - [20/Oct/2022:20:12:28 +0900] "GET /springPortfolio/board/chuga?tbl=freeboard&no_=&pageNumber_=1&searchGubun=&searchData= HTTP/1.1" 200 4105
0:0:0:0:0:0:0:1 - - [20/Oct/2022:20:12:47 +0900] "POST /springPortfolio/board/chugaProc HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Oct/2022:20:12:47 +0900] "GET /springPortfolio/board/list?tbl=freeboard HTTP/1.1" 200 5712
0:0:0:0:0:0:0:1 - - [20/Oct/2022:20:12:51 +0900] "GET /springPortfolio/board/view?tbl=freeboard&no_=2&pageNumber_=1&searchGubun=&searchData= HTTP/1.1" 200 3864
0:0:0:0:0:0:0:1 - - [20/Oct/2022:20:12:52 +0900] "GET /springPortfolio/board/chuga?tbl=freeboard&no_=2&pageNumber_=1&searchGubun=&searchData= HTTP/1.1" 200 3907
0:0:0:0:0:0:0:1 - - [20/Oct/2022:20:13:10 +0900] "POST /springPortfolio/board/chugaProc HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Oct/2022:20:13:10 +0900] "GET /springPortfolio/board/list?tbl=freeboard HTTP/1.1" 200 6178
0:0:0:0:0:0:0:1 - - [20/Oct/2022:20:13:21 +0900] "GET /springPortfolio/board/list?tbl=onebyone HTTP/1.1" 200 4665
0:0:0:0:0:0:0:1 - - [20/Oct/2022:20:13:23 +0900] "GET /springPortfolio/board/list HTTP/1.1" 200 6160
